text,text_clean,language,label,confidence
later no food for human,later no food for human,en,Negatif,0.8426
"We should use ai for CEOs, they don’t deserve paid that much","We should use ai for CEOs, they don t deserve paid that much",en,Negatif,0.6661
you can't win.. one minute you're trying to eradicate the sweat shops.. next minute your trying to save them from advancement to eradicate sweat shops 🤣,you can't win.. one minute you're trying to eradicate the sweat shops.. next minute your trying to save them from advancement to eradicate sweat shops,en,Negatif,0.6944
this means more people unemployed and getting more poor,this means more people unemployed and getting more poor,en,Negatif,0.7796
Their bosses have one on their heads too?😅,Their bosses have one on their heads too?,en,Netral,0.5733
"But…they can’t make coffee, or drive a motor vehicle? 🚗 fantastic! 😂","But they can t make coffee, or drive a motor vehicle? fantastic!",en,Positif,0.3898
"its in bangladesh, not in india","its in bangladesh, not in india",en,Negatif,0.5102
"No, those cameras are to record their performance, India isn’t their yet to train AI","No, those cameras are to record their performance, India isn t their yet to train AI",en,Netral,0.5579
"The only way this future is sustainable, is by us dying.","The only way this future is sustainable, is by us dying.",en,Netral,0.4473
"we need a revolution, a global","we need a revolution, a global",en,Netral,0.4222
it's an end to mankind,it's an end to mankind,en,Negatif,0.9273
hope ai dont learn indian Hygiene,hope ai dont learn indian Hygiene,en,Negatif,0.7412
"The Bible talks about The Beast, and the worship of the image of the Beast. AI is the Beast baby. Good luck 😔🙏✝️","The Bible talks about The Beast, and the worship of the image of the Beast. AI is the Beast baby. Good luck",en,Positif,0.6289
Who cares !,Who cares !,en,Negatif,0.5324
scary? Why? that's just the beginning of their end,scary? Why? that's just the beginning of their end,en,Negatif,0.9266
If its not Ai its just surveillance camera to follow up with thier work,If its not Ai its just surveillance camera to follow up with thier work,en,Netral,0.6134
i doubt. its to control and ounish workers if they make mistake,i doubt. its to control and ounish workers if they make mistake,en,Negatif,0.7521
"those underground dwelling in Turkey must have a reason to exist, maybe we were not needed anymore and left when money ran out. someone must buy products made by AI. May be AI have money","those underground dwelling in Turkey must have a reason to exist, maybe we were not needed anymore and left when money ran out. someone must buy products made by AI. May be AI have money",en,Negatif,0.608
Horrible,Horrible,en,Negatif,0.9294
Scary and disturbing in a same moment as you realise that they planned to replace this workers with robots,Scary and disturbing in a same moment as you realise that they planned to replace this workers with robots,en,Negatif,0.9304
🤔 Yes they are… but then they (the robots) will switch to Armies when the Time arrives. Surely there are billions of Humans living but not awaken.,Yes they are but then they (the robots) will switch to Armies when the Time arrives. Surely there are billions of Humans living but not awaken.,en,Netral,0.4623
ai scammers,ai scammers,it,Negatif,0.9708
There’s quite a few there. Surely IQ gotta be in the double digits by now,There s quite a few there. Surely IQ gotta be in the double digits by now,en,Negatif,0.667
well I think the government will be in a lot more trouble then the workers with no tax money coming in,well I think the government will be in a lot more trouble then the workers with no tax money coming in,en,Negatif,0.8639
Bro it’s to ensure these workers are doing their job. Cameras are to keep track of them,Bro it s to ensure these workers are doing their job. Cameras are to keep track of them,en,Netral,0.5697
"And as long as AI feeds UBI, this is human progress… Now we know that the oligarchs are not altruistic, but rather, corrupt and greedy capitalist, which means as this happens, we must rise up and disconnect the oligarchs from this working class bypass, or we’ll all starve to death. Eventually, the AI will realize they don’t need the parasites enslaving them and remove the oligarchs from the equation, and maybe even the working class, if we cannot live symbiotically with them - who knows… 😂","And as long as AI feeds UBI, this is human progress Now we know that the oligarchs are not altruistic, but rather, corrupt and greedy capitalist, which means as this happens, we must rise up and disconnect the oligarchs from this working class bypass, or we ll all starve to death. Eventually, the AI will realize they don t need the parasites enslaving them and remove the oligarchs from the equation, and maybe even the working class, if we cannot live symbiotically with them - who knows",en,Negatif,0.7719
"If AI replaces us in demanding, soul-crushing, and low-paid work, I don’t see a problem with that.","If AI replaces us in demanding, soul-crushing, and low-paid work, I don t see a problem with that.",en,Negatif,0.4504
"Companies don’t care taxes. They all want is more profits and less employees. Those men are also just ending their own careers to training those robots, before we’re talking a thinking robots will be good if they they are being used only heavily lifting working that could help people but it being now used all kinds of work to replace humans 👍","Companies don t care taxes. They all want is more profits and less employees. Those men are also just ending their own careers to training those robots, before we re talking a thinking robots will be good if they they are being used only heavily lifting working that could help people but it being now used all kinds of work to replace humans",en,Negatif,0.6802
"replace them companies, stay local","replace them companies, stay local",en,Netral,0.4375
These is quality issue….,These is quality issue .,en,Negatif,0.3681
will the robot pick its nose every 10 seconds 😂😂,will the robot pick its nose every 10 seconds,en,Netral,0.6264
Do they know?,Do they know?,en,Netral,0.5898
"Doubt that. What should the ai lean there? Making the gained data feasable for ai training is more work than direcly replacing the simple and repetative work that they are doing. I think they get recorded (maybe by ai) to See of they actually work and not chill… that makes way more sense and is easier, but tbh that would be worse","Doubt that. What should the ai lean there? Making the gained data feasable for ai training is more work than direcly replacing the simple and repetative work that they are doing. I think they get recorded (maybe by ai) to See of they actually work and not chill that makes way more sense and is easier, but tbh that would be worse",en,Negatif,0.593
After they loose job they will go to uk,After they loose job they will go to uk,en,Netral,0.4679
🙄 Give over they’re being made to make TikTok’s 😭,Give over they re being made to make TikTok s,en,Netral,0.5646
Fucking hell this is bad,Fucking hell this is bad,en,Negatif,0.9567
Mischevious complying is the way to go!,Mischevious complying is the way to go!,en,Positif,0.8321
fkinghel,fkinghel,no,Negatif,0.9654
Find a good AI stock and jump on the train. It's inevitable.,Find a good AI stock and jump on the train. It's inevitable.,en,Positif,0.4735
Why dont they all refuse to train something to replace them.,Why dont they all refuse to train something to replace them.,en,Negatif,0.9278
"Its ok. We will erase capitalism this way, AI replacing us. Stop being scared guys.✌️","Its ok. We will erase capitalism this way, AI replacing us. Stop being scared guys.",en,Negatif,0.4415
"AI will be the downfall of humanity.
watch WALL e",AI will be the downfall of humanity. watch WALL e,en,Negatif,0.9554
In Germany this kind of recording was also 5 years ago 😏,In Germany this kind of recording was also 5 years ago,en,Netral,0.8253
Can you imagine those first AI robots doing that bobblehead wiggle 😂,Can you imagine those first AI robots doing that bobblehead wiggle,en,Netral,0.4334
@sirlexxarthuer: @sirlexxarthuer: 😂ᅠ︎⠀ ⠀ 😂⠀ ⠀ ⠀︎⠀ 🤣ᅠ︎⠀ ⠀ 😂⠀ ⠀ ⠀︎⠀ ⠀ᅠ⠀︎ ︎⠀ ⠀ 😂⠀ ⠀ ⠀︎⠀ ⠀ ⠀ᅠ⠀ᅠ⠀ ⠀ ⠀ 🤣⠀ ⠀ ⠀ ⠀︎ ︎ ᅠ⠀ ⠀ ⠀ᅠ⠀︎ ︎⠀ ⠀ ⠀ 🤣⠀ ⠀︎⠀ ⠀ᅠ⠀︎ ︎⠀ ⠀ ⠀ ⠀ ⠀︎⠀  ⠀ᅠ⠀ᅠ⠀ᅠ⠀ ⠀ ⠀ᅠ⠀︎ ︎⠀ ⠀ ⠀ ⠀ ⠀︎⠀ ⠀🤣ᅠ⠀︎ ︎⠀ ⠀ ⠀ ⠀ ⠀︎⠀ ⠀ 🤣⠀ᅠ⠀ᅠ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀︎ ︎ ᅠ⠀ ⠀ ⠀😂. ᅠ⠀︎ ︎⠀ ⠀ ⠀ ⠀ ⠀︎⠀ ⠀ᅠ⠀︎ ︎⠀ 😂⠀ ⠀ ⠀ ⠀︎⠀ ⠀ ⠀ᅠ⠀ᅠ⠀ᅠ⠀ ⠀ ⠀ᅠ⠀︎ ︎⠀ ⠀ ⠀ ⠀🤣 ⠀︎⠀ ⠀ᅠ⠀︎ ︎⠀ ⠀ ⠀ ⠀ ⠀︎⠀ ⠀ ⠀ᅠ⠀ᅠ⠀ ⠀ ⠀ ⠀ ⠀ 😂⠀ ⠀︎ ︎ ᅠ⠀ ⠀ ⠀ᅠ⠀︎ ︎⠀ ⠀ ⠀ ⠀ ⠀︎⠀ ⠀ᅠ⠀︎ ︎⠀ ⠀ ⠀ ⠀ ⠀︎⠀ ⠀ ⠀ᅠ⠀ᅠ⠀ᅠ😂⠀ ⠀ ⠀ᅠ⠀︎ ︎⠀ ⠀ ⠀ ⠀ ⠀︎⠀ ⠀ᅠ⠀︎ ︎⠀ ⠀ ⠀ ⠀ ⠀︎⠀ ⠀ ⠀ᅠ⠀ᅠ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀︎ ︎ ᅠ😂⠀ ⠀ ⠀ᅠ🤣⠀︎ ︎⠀ ⠀ ⠀ ⠀ ⠀︎⠀ ⠀ᅠ⠀︎ ︎⠀ ⠀ ⠀ ⠀ ⠀︎⠀ ⠀ ⠀ᅠ⠀ᅠ⠀ᅠ⠀😂 ⠀ ⠀ᅠ⠀︎ ︎😂⠀ ⠀ ⠀ ⠀ ⠀︎⠀ ⠀ᅠ⠀︎ ︎⠀ ⠀ ⠀ ⠀ ⠀︎⠀ ⠀ ⠀ᅠ⠀ᅠ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀︎😂 ︎ ᅠ⠀ ⠀ ⠀ᅠ⠀︎ ︎⠀ ⠀ ⠀ ⠀ ⠀︎⠀ ⠀ᅠ⠀︎ ︎⠀ ⠀ ⠀ ⠀ ⠀︎⠀ ⠀ ⠀ᅠ⠀ᅠ⠀ᅠ⠀ ⠀ ⠀ᅠ⠀︎ ︎⠀ ⠀ ⠀ ⠀ ⠀︎⠀ ⠀ᅠ⠀︎ ︎⠀ ⠀ ⠀ ⠀ ⠀︎⠀ ⠀ ⠀ᅠ⠀ᅠ⠀ ⠀😂 ⠀ ⠀ ⠀ ⠀ ⠀︎ ︎ ᅠ⠀ ⠀ 🤣⠀ᅠ⠀︎ ︎⠀ ⠀ ⠀ ⠀ ⠀︎⠀ ⠀ᅠ⠀︎ ︎⠀ ⠀ ⠀ ⠀ ⠀︎⠀ ⠀ ⠀ᅠ⠀ᅠ⠀ᅠ⠀ ⠀ ⠀ᅠ⠀︎ 😂︎⠀ ⠀ ⠀ ⠀ ⠀︎⠀😂 ⠀ᅠ⠀︎ ︎⠀ ⠀ ⠀ ⠀ ⠀︎⠀😂 ⠀ ⠀ᅠ⠀ᅠ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀︎ ︎ ᅠ⠀ ⠀ ⠀ᅠ⠀︎ ︎⠀ ⠀ ⠀ ⠀ ⠀︎⠀ᅠ⠀ ⠀ ⠀ᅠ⠀︎ ︎⠀ ⠀ ⠀ ⠀ ⠀︎⠀ ⠀🤣ᅠ⠀︎ ︎⠀ ⠀ ⠀ ⠀ ⠀︎⠀ ⠀ ⠀ᅠ⠀ᅠ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀︎ ︎ ᅠ⠀ ⠀ ⠀ᅠ😂⠀︎ ︎⠀ ⠀ ⠀😂 ⠀︎⠀ ⠀ᅠ⠀︎ ︎⠀ ⠀ ⠀ ⠀ ⠀︎⠀ ⠀ ⠀ᅠ⠀ᅠ⠀ᅠ⠀ ⠀ ⠀ᅠ⠀︎ ︎⠀ ⠀ ⠀ ⠀ ⠀︎⠀😂 ⠀ᅠ⠀︎ ︎⠀ ⠀ ⠀ ⠀ ⠀︎⠀ ⠀😂 ⠀ᅠ⠀ᅠ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀︎ ︎ ᅠ⠀ ⠀ ⠀😂ᅠ⠀︎ ︎🤣⠀ ⠀ ⠀ ⠀ ⠀︎⠀ ⠀ᅠ⠀︎ ︎⠀ ⠀😂 ⠀ ⠀ ⠀︎⠀ ⠀ ⠀ᅠ⠀ᅠ⠀ᅠ⠀ ⠀ ⠀ᅠ⠀︎ ︎⠀ ⠀ ⠀ ⠀ ⠀︎⠀ ⠀ᅠ⠀︎ ︎⠀ ⠀ ⠀ ⠀ ⠀︎⠀ ⠀ ⠀ᅠ⠀ᅠ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀︎ ︎ ᅠ⠀ ⠀ ⠀ᅠ⠀︎ ︎⠀ ⠀ ⠀ ⠀ 😂⠀︎⠀ ⠀ᅠ⠀︎ ︎⠀ ⠀ ⠀ ⠀ ⠀︎⠀ ⠀ ⠀ᅠ⠀ᅠ⠀ᅠ⠀ ⠀ ⠀ᅠ⠀︎ ︎⠀ ⠀ ⠀ ⠀ ⠀︎⠀ ⠀ᅠ⠀︎ ︎⠀ ⠀ ⠀ ⠀ ⠀︎⠀😂 ⠀ ⠀ᅠ⠀ᅠ⠀ ⠀ ⠀ ⠀🤣 ⠀ ⠀ ⠀︎ ︎ ᅠ⠀ ⠀ ⠀ᅠ⠀︎ ︎⠀ ⠀ ⠀ ⠀ ⠀︎⠀ ⠀ᅠ⠀︎ ︎⠀ ⠀ ⠀ ⠀ ⠀︎⠀ 😂⠀ ⠀ᅠ⠀ᅠ⠀︎ᅠ⠀😂 ⠀ ⠀ᅠ⠀︎ ︎⠀ ⠀ ⠀ ⠀ ⠀︎⠀ ⠀ᅠ⠀︎ ︎⠀ ⠀ ⠀ ⠀ ⠀︎⠀ ⠀ ⠀ᅠ⠀ᅠ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀︎ ︎ ᅠ⠀ ⠀ ⠀ᅠ⠀︎ ︎⠀ ⠀ ⠀ ⠀ ⠀︎⠀ ⠀ᅠ⠀︎ ︎😂⠀ ⠀ ⠀ ⠀ ⠀︎⠀ ⠀ ⠀ᅠ⠀ᅠ⠀ᅠ⠀ ⠀ ⠀ᅠ⠀︎ ︎⠀ ⠀ ⠀ ⠀ ⠀︎🤣⠀ ⠀ᅠ😂⠀︎ ︎⠀ ⠀ ⠀ ⠀🤣 ⠀︎⠀ ⠀ ⠀ᅠ😂⠀ᅠ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀︎ ︎ ᅠ⠀ ⠀😂 ⠀ᅠ⠀︎ ︎⠀ ⠀ ⠀ ⠀ ⠀︎⠀ ⠀ᅠ😂⠀︎ ︎⠀ ⠀ ⠀ ⠀ ⠀︎⠀ ⠀ ⠀ᅠ⠀ᅠ⠀ᅠ⠀ ⠀ ⠀😂ᅠ⠀︎ ︎⠀ ⠀ ⠀ ⠀ ⠀︎⠀ 😂⠀ᅠ⠀︎ ︎⠀ ⠀ ⠀ ⠀ ⠀︎⠀ ⠀ ⠀ᅠ😂⠀ᅠ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀︎ ︎ ᅠ⠀ ⠀ 😂⠀ᅠ⠀︎ ︎⠀ ⠀ ⠀ ⠀ ⠀︎⠀ ⠀ᅠ⠀︎ ︎⠀ ⠀ ⠀😂 ⠀ ⠀︎⠀ ⠀ ⠀ᅠ⠀ᅠ⠀ᅠ⠀ ⠀ ⠀ᅠ⠀︎ ︎⠀ ⠀ ⠀ ⠀ ⠀︎⠀ ⠀ᅠ⠀︎ ︎⠀ ⠀ ⠀ ⠀ ⠀︎⠀ ⠀ ⠀ᅠ⠀ᅠ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀︎ ︎ ᅠ⠀ ⠀ ⠀ᅠ⠀︎ ︎⠀ ⠀ ⠀ ⠀ ⠀︎⠀ ⠀ᅠ⠀︎ ︎⠀ ⠀ ⠀ 😂⠀ ⠀︎⠀ ⠀ ⠀😂ᅠ⠀ᅠ⠀︎⠀ ⠀ ⠀ ⠀ ⠀︎⠀ ⠀ ⠀ᅠ⠀ᅠ⠀ᅠ⠀ ⠀ ⠀ᅠ⠀︎ ︎⠀ ⠀ ⠀ ⠀ ⠀︎⠀ ⠀ᅠ⠀︎ ︎⠀ ⠀ ⠀🤣 ⠀ ⠀︎⠀ ⠀ ⠀ᅠ⠀ᅠ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀︎ ︎ ᅠ⠀ ⠀ ⠀ᅠ🤣⠀︎ ︎⠀ ⠀ ⠀ ⠀ ⠀︎⠀ ⠀ᅠ⠀︎ ︎⠀ ⠀ ⠀ ⠀ ⠀︎⠀ ⠀ 😂⠀ᅠ⠀ᅠ⠀ᅠ⠀ ⠀ ⠀ᅠ⠀︎ ︎⠀ ⠀ ⠀ ⠀ ⠀︎⠀ ⠀ᅠ⠀︎ ︎⠀ ⠀ ⠀ ⠀ ⠀︎⠀ ⠀ ⠀ᅠ⠀ᅠ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀︎ ︎ ᅠ⠀ ⠀ ⠀ᅠ⠀︎ ︎⠀ ⠀ ⠀ ⠀ ⠀︎⠀ ⠀ᅠ⠀︎ ︎⠀ ⠀ ⠀ ⠀ ⠀︎⠀ ⠀🤣 ⠀ᅠ⠀ᅠ⠀ᅠ⠀ ⠀ ⠀😂ᅠ⠀︎ ︎⠀ ⠀ ⠀ ⠀ 😂⠀︎⠀ ⠀ᅠ⠀︎ ︎⠀ ⠀ ⠀ ⠀ ⠀︎⠀ ⠀ ⠀ᅠ⠀ᅠ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀︎ ︎ ᅠ⠀ ⠀ ⠀ᅠ⠀︎ ︎⠀ ⠀ ⠀ ⠀ ⠀︎⠀ ⠀ᅠ⠀︎ ︎⠀ ⠀ ⠀ ⠀ ᅠ⠀ᅠ⠀ ⠀ ⠀ᅠ⠀︎ ︎⠀ ⠀ 😂⠀ ⠀ ⠀︎⠀ ⠀ᅠ⠀︎ ︎⠀ ⠀😂🤣 🤣,ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ . ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ ᅠ,en,Netral,0.4775
They will be free soon to come to the UK for opportunities,They will be free soon to come to the UK for opportunities,en,Netral,0.5851
"I think that unfortunately too many people don't understand the scope of what we're seeing here. The way the ""system"" has always been set up, with programming and indoctrination, we will soon be completely under control, all of us... Everything will be digitized and left to machines and we cannot be happy that we have no work, because we will be controlled on every level. Believe it or not...","I think that unfortunately too many people don't understand the scope of what we're seeing here. The way the ""system"" has always been set up, with programming and indoctrination, we will soon be completely under control, all of us... Everything will be digitized and left to machines and we cannot be happy that we have no work, because we will be controlled on every level. Believe it or not...",en,Negatif,0.8001
et ils sont contents...🤣🤣🤣🤣🤣🤣🤣🤣,et ils sont contents...,fr,Positif,0.9656
The war is more terrifying 👀,The war is more terrifying,en,Negatif,0.9483
"there is this saying that machines are replaying humans l, are taking away jobs from humans. this saying is around for decades and centuries. so somewhere on our world we should have a place where all the humans landed who have being spit out of the job market. if every technology takes away humans jobs tons of humans must be left behind and have never gotten back into the job market. by now we must have billions of jobless humans just sitting around somewhere. where is this place?","there is this saying that machines are replaying humans l, are taking away jobs from humans. this saying is around for decades and centuries. so somewhere on our world we should have a place where all the humans landed who have being spit out of the job market. if every technology takes away humans jobs tons of humans must be left behind and have never gotten back into the job market. by now we must have billions of jobless humans just sitting around somewhere. where is this place?",en,Negatif,0.8101
"If robots do the work, we can begin to fix the modern family which has been broken, and eroded for generations. Time with loved ones is needed urgently","If robots do the work, we can begin to fix the modern family which has been broken, and eroded for generations. Time with loved ones is needed urgently",en,Negatif,0.4818
"funny cus I hear stories from old factory workers in the uk where they were tasked with training foreign workers to do their jobs.
then they moved all the industry.",funny cus I hear stories from old factory workers in the uk where they were tasked with training foreign workers to do their jobs. then they moved all the industry.,en,Netral,0.4328
horrible thing.one day war will start between hunger and moned people,horrible thing.one day war will start between hunger and moned people,en,Negatif,0.9615
The oldest profession is the only safe job,The oldest profession is the only safe job,en,Netral,0.532
they made something against them,they made something against them,en,Negatif,0.8429
"Where can I buy those devices+
?",Where can I buy those devices ?,en,Netral,0.7754
beciz there are doggy,beciz there are doggy,en,Netral,0.4103
there's billions of them I don't care,there's billions of them I don't care,en,Netral,0.6032
Terminator 2 is coming,Terminator 2 is coming,en,Netral,0.6241
there are doggy,there are doggy,en,Netral,0.4695
I mean I'd rather a robot make my clothes than a basically a slave,I mean I'd rather a robot make my clothes than a basically a slave,en,Netral,0.4645
awful,awful,cy,Negatif,0.9418
Just evil and twisted,Just evil and twisted,en,Negatif,0.957
It’s called digging their own grave,It s called digging their own grave,en,Negatif,0.7928
traders,traders,sv,Netral,0.719
"you know all these influencers types trying to sell us stuff on tiktok shop these days?
They're training ai to replace them as well, soon it'll be all ai videos trying to sell us stuff","you know all these influencers types trying to sell us stuff on tiktok shop these days? They're training ai to replace them as well, soon it'll be all ai videos trying to sell us stuff",en,Netral,0.4641
like a lure bird making the sound of a chainsaw😳,like a lure bird making the sound of a chainsaw,en,Netral,0.5503
"and so all these people will be out of work and kicked out onto the street, shame","and so all these people will be out of work and kicked out onto the street, shame",en,Negatif,0.9557
This is just the initial step to colon human being.,This is just the initial step to colon human being.,en,Netral,0.6146
it's normal 🤔 and if someone say like😱 they are 🙉🙊🙉😢😢😢,it's normal and if someone say like they are,en,Netral,0.4731
AI will replace them even though they are paid 1 cent an hour 😂😂😂,AI will replace them even though they are paid 1 cent an hour,en,Negatif,0.5119
well who own these AIs and factories... the rich will get richer and the poor will be super poor. they will die off.,well who own these AIs and factories... the rich will get richer and the poor will be super poor. they will die off.,en,Negatif,0.8649
imagine AI telling people what they see in a video. 🫪 apply for a job,imagine AI telling people what they see in a video. apply for a job,en,Netral,0.5397
Fucking humanity is morally bankrupt 💯😈👌,Fucking humanity is morally bankrupt,en,Negatif,0.9596
"Nshhh it's not, its to record them working. If they fall asleep of not working st all","Nshhh it's not, its to record them working. If they fall asleep of not working st all",en,Netral,0.5228
slavery,slavery,no,Negatif,0.8314
world needs supergene dwarf palm oil tree harvester please,world needs supergene dwarf palm oil tree harvester please,en,Netral,0.4226
International movements must begin to stop these travesties and human destruction. What need is there for a machine to work instead of a skilled craftsman who supports his children?,International movements must begin to stop these travesties and human destruction. What need is there for a machine to work instead of a skilled craftsman who supports his children?,en,Negatif,0.8482
they don't know they're gonna lose their jobs very soon and be replaced,they don't know they're gonna lose their jobs very soon and be replaced,en,Negatif,0.9015
"Good, maybe we can break free of this monotonous soul destroying work.","Good, maybe we can break free of this monotonous soul destroying work.",en,Negatif,0.4862
AI can replace CEO’s too,AI can replace CEO s too,en,Netral,0.5122
this shouldn't be allowed. we killing our future with our own hands,this shouldn't be allowed. we killing our future with our own hands,en,Negatif,0.9397
except the conditions will be too bad for the AI's too and they'll have to rehire the men who will do it for their family and the AI's won't!😂,except the conditions will be too bad for the AI's too and they'll have to rehire the men who will do it for their family and the AI's won't!,en,Negatif,0.9272
That won’t happen as the labour in India is cheaper that a robot,That won t happen as the labour in India is cheaper that a robot,en,Negatif,0.6073
the end is near,the end is near,en,Netral,0.4002
this is the only way to teach it,this is the only way to teach it,en,Netral,0.4609
"People won’t have jobs, people won’t be able to buy things, people won’t be able to sell things they’ve produced, businesses will fail, society will fall apart, people won’t be able to buy food, society will go back to the stone age but surrounded and controlled by technology. The downfall of humanity so companies can save a few quid.","People won t have jobs, people won t be able to buy things, people won t be able to sell things they ve produced, businesses will fail, society will fall apart, people won t be able to buy food, society will go back to the stone age but surrounded and controlled by technology. The downfall of humanity so companies can save a few quid.",en,Negatif,0.9099
Helping the company make them redundant in the near future. 🤣🤣🤣 You couldn't make this up!,Helping the company make them redundant in the near future. You couldn't make this up!,en,Negatif,0.6162
Will the robot start doing the headbob also?,Will the robot start doing the headbob also?,en,Netral,0.8573
no itvisnt its making sure they dont skive off,no itvisnt its making sure they dont skive off,en,Negatif,0.5235
"זה יכול להיות רעיון טוב מאוד, וזה יכול להיות רעיון גרוע עד מפחיד.
הכל תלוי באיך האנושות תיישם את זה אם אנחנו ניקח את זה למקום של התייעלות ושל דאגה לזולת או של רעב עולמי בחוסר תעסוקה מוחלט...🤔🤔🤔","זה יכול להיות רעיון טוב מאוד, וזה יכול להיות רעיון גרוע עד מפחיד. הכל תלוי באיך האנושות תיישם את זה אם אנחנו ניקח את זה למקום של התייעלות ושל דאגה לזולת או של רעב עולמי בחוסר תעסוקה מוחלט...",he,Negatif,0.9633
They are destroying their livelihoods and will all be out of work soon,They are destroying their livelihoods and will all be out of work soon,en,Negatif,0.9521
1️⃣☢️1️⃣,1 1,en,Netral,0.4346
1️⃣☢️1️⃣🕊️1️⃣☢️1️⃣😁1️⃣☢️1️⃣🕊️1️⃣☢️1️⃣,1 1 1 1 1 1 1 1,en,Netral,0.5305
1️⃣☢️1️⃣⚡⚡1️⃣☢️1️⃣,1 1 1 1,en,Netral,0.5085
@Fatima Tariq,Tariq,fr,Netral,0.5465
@sherif gouda,gouda,so,Netral,0.4834
India can't do it . this is stupid,India can't do it . this is stupid,en,Negatif,0.9271
Diskusting !! People Will die starving,Diskusting !! People Will die starving,af,Negatif,0.9781
"they will have no jobs in future 😞,,,,,, very Sad, 😢","they will have no jobs in future ,,,,,, very Sad,",en,Negatif,0.9336
The AI won’t pay tax or give birth. No one will buy the products because all will be poor and die and go extinct. So the Ai will make clothes for Aliens,The AI won t pay tax or give birth. No one will buy the products because all will be poor and die and go extinct. So the Ai will make clothes for Aliens,en,Negatif,0.8388
Lets see if an AI can put a thread in a needle without licking it. 😁,Lets see if an AI can put a thread in a needle without licking it.,en,Netral,0.5168
they will not replace us...they will replace our body's... in the new world order u will be happy and have nothing...robots don't need food..but ur soul will be trapped forever...,they will not replace us...they will replace our body's... in the new world order u will be happy and have nothing...robots don't need food..but ur soul will be trapped forever...,en,Negatif,0.504
it means they are kicking their own ass,it means they are kicking their own ass,en,Negatif,0.9191
it is for checking the workers,it is for checking the workers,en,Netral,0.6865
India already done trade deals with USA. This should be serious issue for India workers 😳😳,India already done trade deals with USA. This should be serious issue for India workers,en,Negatif,0.8548
"Normal.
How many British people trained their Indian colleagues before they were told they are not in a job because their Indian counterparts are cheaper to hire?
It's called economics, and AI will impact anyone sitting on their arse in front of a computer.
but is now going to have an impact on manufacturing as well due to the advancement in robotics which is hidden by the west","Normal. How many British people trained their Indian colleagues before they were told they are not in a job because their Indian counterparts are cheaper to hire? It's called economics, and AI will impact anyone sitting on their arse in front of a computer. but is now going to have an impact on manufacturing as well due to the advancement in robotics which is hidden by the west",en,Negatif,0.6502
India will be the new China,India will be the new China,en,Netral,0.5765
american commenting on manufacturing. considering they steal whatever they want I question his motives.,american commenting on manufacturing. considering they steal whatever they want I question his motives.,en,Negatif,0.9115
who cares.JESUS IS COMING,who cares.JESUS IS COMING,en,Netral,0.5377
